action,current_uses,line,notes,ref,resolved_sha,status,suggested_uses,workflow
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,20,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/mutation-nightly.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,23,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/mutation-nightly.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,38,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/osf.yml
actions/setup-go,actions/setup-go@924ae3a1cded613372ab5595356fb5720e22ba16,41,Already pinned to a full SHA.,924ae3a1cded613372ab5595356fb5720e22ba16,,skipped_sha,,.github/workflows/osf.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,61,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/osf.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,72,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/osf.yml
actions/setup-go,actions/setup-go@924ae3a1cded613372ab5595356fb5720e22ba16,75,Already pinned to a full SHA.,924ae3a1cded613372ab5595356fb5720e22ba16,,skipped_sha,,.github/workflows/osf.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,118,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/osf.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,128,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/osf.yml
astral-sh/setup-uv,astral-sh/setup-uv@11f9893b081a58869d3b5fccaea48c9e9e46f990,131,Already pinned to a full SHA.,11f9893b081a58869d3b5fccaea48c9e9e46f990,,skipped_sha,,.github/workflows/osf.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,132,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/osf.yml
actions/setup-go,actions/setup-go@924ae3a1cded613372ab5595356fb5720e22ba16,133,Already pinned to a full SHA.,924ae3a1cded613372ab5595356fb5720e22ba16,,skipped_sha,,.github/workflows/osf.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,159,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/osf.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,176,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/osf.yml
actions/setup-go,actions/setup-go@924ae3a1cded613372ab5595356fb5720e22ba16,179,Already pinned to a full SHA.,924ae3a1cded613372ab5595356fb5720e22ba16,,skipped_sha,,.github/workflows/osf.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,23,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/pages.yml
astral-sh/setup-uv,astral-sh/setup-uv@11f9893b081a58869d3b5fccaea48c9e9e46f990,26,Already pinned to a full SHA.,11f9893b081a58869d3b5fccaea48c9e9e46f990,,skipped_sha,,.github/workflows/pages.yml
actions/setup-node,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,29,Already pinned to a full SHA.,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,,skipped_sha,,.github/workflows/pages.yml
actions/configure-pages,actions/configure-pages@45bfe0192ca1faeb007ade9deae92b16b8254a0d,33,Already pinned to a full SHA.,45bfe0192ca1faeb007ade9deae92b16b8254a0d,,skipped_sha,,.github/workflows/pages.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,54,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/pages.yml
actions/upload-pages-artifact,actions/upload-pages-artifact@fc324d3547104276b827a68afc52ff2a11cc49c9,69,Already pinned to a full SHA.,fc324d3547104276b827a68afc52ff2a11cc49c9,,skipped_sha,,.github/workflows/pages.yml
actions/deploy-pages,actions/deploy-pages@cd2ce8fcbc39b97be8ca5fce6e763baed58fa128,84,Already pinned to a full SHA.,cd2ce8fcbc39b97be8ca5fce6e763baed58fa128,,skipped_sha,,.github/workflows/pages.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,92,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/pages.yml
actions/setup-python,actions/setup-python@ece7cb06caefa5fff74198d8649806c4678c61a1,95,Already pinned to a full SHA.,ece7cb06caefa5fff74198d8649806c4678c61a1,,skipped_sha,,.github/workflows/pages.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,18,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/release-readiness.yml
astral-sh/setup-uv,astral-sh/setup-uv@11f9893b081a58869d3b5fccaea48c9e9e46f990,21,Already pinned to a full SHA.,11f9893b081a58869d3b5fccaea48c9e9e46f990,,skipped_sha,,.github/workflows/release-readiness.yml
actions/setup-node,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,22,Already pinned to a full SHA.,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,,skipped_sha,,.github/workflows/release-readiness.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,42,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/release-readiness.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,17,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/release.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,20,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/release.yml
actions/attest,actions/attest@a1948c3f048ba23858d222213b7c278aabede763,39,Already pinned to a full SHA.,a1948c3f048ba23858d222213b7c278aabede763,,skipped_sha,,.github/workflows/release.yml
actions/attest,actions/attest@a1948c3f048ba23858d222213b7c278aabede763,43,Already pinned to a full SHA.,a1948c3f048ba23858d222213b7c278aabede763,,skipped_sha,,.github/workflows/release.yml
actions/attest,actions/attest@a1948c3f048ba23858d222213b7c278aabede763,47,Already pinned to a full SHA.,a1948c3f048ba23858d222213b7c278aabede763,,skipped_sha,,.github/workflows/release.yml
actions/attest,actions/attest@a1948c3f048ba23858d222213b7c278aabede763,51,Already pinned to a full SHA.,a1948c3f048ba23858d222213b7c278aabede763,,skipped_sha,,.github/workflows/release.yml
softprops/action-gh-release,softprops/action-gh-release@718ea10b132b3b2eba29c1007bb80653f286566b,67,Already pinned to a full SHA.,718ea10b132b3b2eba29c1007bb80653f286566b,,skipped_sha,,.github/workflows/release.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,18,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/repo-automation.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,21,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/repo-automation.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,22,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/scorecard.yml
ossf/scorecard-action,ossf/scorecard-action@4eaacf0543bb3f2c246792bd56e8cdeffafb205a,26,Already pinned to a full SHA.,4eaacf0543bb3f2c246792bd56e8cdeffafb205a,,skipped_sha,,.github/workflows/scorecard.yml
github/codeql-action/upload-sarif,github/codeql-action/upload-sarif@99df26d4f13ea111d4ec1a7dddef6063f76b97e9,32,Already pinned to a full SHA.,99df26d4f13ea111d4ec1a7dddef6063f76b97e9,,skipped_sha,,.github/workflows/scorecard.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,23,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/security-assurance.yml
rhysd/actionlint,rhysd/actionlint@914e7df21a07ef503a81201c76d2b11c789d3fca,26,Already pinned to a full SHA.,914e7df21a07ef503a81201c76d2b11c789d3fca,,skipped_sha,,.github/workflows/security-assurance.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,32,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/security-assurance.yml
gitleaks/gitleaks-action,gitleaks/gitleaks-action@e0c47f4f8be36e29cdc102c57e68cb5cbf0e8d1e,36,Already pinned to a full SHA.,e0c47f4f8be36e29cdc102c57e68cb5cbf0e8d1e,,skipped_sha,,.github/workflows/security-assurance.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,46,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/security-assurance.yml
astral-sh/setup-uv,astral-sh/setup-uv@11f9893b081a58869d3b5fccaea48c9e9e46f990,49,Already pinned to a full SHA.,11f9893b081a58869d3b5fccaea48c9e9e46f990,,skipped_sha,,.github/workflows/security-assurance.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,64,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/security-assurance.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,20,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/security.yml
github/codeql-action/init,github/codeql-action/init@99df26d4f13ea111d4ec1a7dddef6063f76b97e9,23,Already pinned to a full SHA.,99df26d4f13ea111d4ec1a7dddef6063f76b97e9,,skipped_sha,,.github/workflows/security.yml
github/codeql-action/analyze,github/codeql-action/analyze@99df26d4f13ea111d4ec1a7dddef6063f76b97e9,27,Already pinned to a full SHA.,99df26d4f13ea111d4ec1a7dddef6063f76b97e9,,skipped_sha,,.github/workflows/security.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,36,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/security.yml
actions/dependency-review-action,actions/dependency-review-action@a1d282b36b6f3519aa1f3fc636f609c47dddb294,39,Already pinned to a full SHA.,a1d282b36b6f3519aa1f3fc636f609c47dddb294,,skipped_sha,,.github/workflows/security.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,46,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/security.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,49,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/security.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,61,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/security.yml
actions/setup-node,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,64,Already pinned to a full SHA.,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,,skipped_sha,,.github/workflows/security.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,24,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/source-health.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,27,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/source-health.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,73,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/source-health.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,16,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/stack-canary.yml
actions/setup-python,actions/setup-python@ece7cb06caefa5fff74198d8649806c4678c61a1,19,Already pinned to a full SHA.,ece7cb06caefa5fff74198d8649806c4678c61a1,,skipped_sha,,.github/workflows/stack-canary.yml
astral-sh/setup-uv,astral-sh/setup-uv@11f9893b081a58869d3b5fccaea48c9e9e46f990,22,Already pinned to a full SHA.,11f9893b081a58869d3b5fccaea48c9e9e46f990,,skipped_sha,,.github/workflows/stack-canary.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,23,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/stack-canary.yml
actions/setup-node,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,24,Already pinned to a full SHA.,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,,skipped_sha,,.github/workflows/stack-canary.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,69,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/stack-canary.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,16,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/uv-quality.yml
astral-sh/setup-uv,astral-sh/setup-uv@11f9893b081a58869d3b5fccaea48c9e9e46f990,19,Already pinned to a full SHA.,11f9893b081a58869d3b5fccaea48c9e9e46f990,,skipped_sha,,.github/workflows/uv-quality.yml
actions/setup-node,actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,20,Already pinned to a full SHA.,48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,,skipped_sha,,.github/workflows/uv-quality.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,29,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/uv-quality.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,29,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/workflow-security.yml
prefix-dev/setup-pixi,prefix-dev/setup-pixi@a09b6247153796b190642a2b53fac4241043cf6f,32,Already pinned to a full SHA.,a09b6247153796b190642a2b53fac4241043cf6f,,skipped_sha,,.github/workflows/workflow-security.yml
actions/upload-artifact,actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,40,Already pinned to a full SHA.,043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,,skipped_sha,,.github/workflows/workflow-security.yml
actions/checkout,actions/checkout@9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,53,Already pinned to a full SHA.,9c091bb21b7c1c1d1991bb908d89e4e9dddfe3e0,,skipped_sha,,.github/workflows/workflow-security.yml
astral-sh/setup-uv,astral-sh/setup-uv@11f9893b081a58869d3b5fccaea48c9e9e46f990,56,Already pinned to a full SHA.,11f9893b081a58869d3b5fccaea48c9e9e46f990,,skipped_sha,,.github/workflows/workflow-security.yml
github/codeql-action/upload-sarif,github/codeql-action/upload-sarif@99df26d4f13ea111d4ec1a7dddef6063f76b97e9,62,Already pinned to a full SHA.,99df26d4f13ea111d4ec1a7dddef6063f76b97e9,,skipped_sha,,.github/workflows/workflow-security.yml
